States_UTs,T_Junction_Total_number_of_Accidents,T_Junction_Persons_Killed,T_Junction_Persons_Greviously_Injured,T-Junction_Persons_Minor_Injured,Y_Junction_Total_number_of_Accidents,Y_Junction_Persons_Killed,Y_Junction_Persons_Greviously_Injured,Y_Junction_Persons_Minor_Injured,Four_arm_Junction_Total_number_of_Accidents,Four_arm_Junction_Persons_Killed,Four_arm_Junction_Persons_Greviously_Injured,Four_arm_Junction_Persons_Minor_Injured,Staggered_Junction_Total_number_of_Accidents,Staggered_Junction_Persons_Killed,Staggered_Junction_Persons_Greviously_Injured,Staggered_Junction_Persons_Minor_Injured,Round_about_Junction_Total_number_of_Accidents,Round_about_Junction_Persons_Killed,Round_about_Junction_Persons_Greviously_Injured,Round_about_Junction_Persons_Minor_Injured
Andhra_Pradesh,3376,1177,1024,2702,2206,687,625,2027,1999,698,485,1747,2631,944,1073,1866,2114,706,813,1621
Arunachal_Pradesh,49,22,39,25,40,18,37,21,33,22,36,24,12,5,6,7,13,3,3,6
Assam,1022,301,645,214,736,215,564,142,797,244,475,176,421,139,276,47,524,193,381,72
Bihar,645,394,261,146,397,240,177,82,435,271,163,89,136,85,61,30,154,90,66,29
Chhattisgarh,1622,438,390,1111,851,245,217,497,1221,300,165,688,921,374,163,761,1504,517,278,1017
Goa,185,10,15,65,57,4,6,21,188,6,15,45,0,0,0,0,93,7,2,12
Gujarat,1526,509,608,699,768,283,283,372,1936,575,750,867,1647,481,720,749,969,287,326,508
Haryana,450,221,111,349,324,152,58,210,292,113,78,190,758,315,100,543,184,89,39,108
Himachal_Pradesh,56,19,36,51,16,2,4,17,11,3,3,11,0,0,0,0,1,0,0,3
Jammu_&_Kashmir,568,101,322,551,258,34,155,272,153,30,52,123,49,8,21,26,1901,341,953,1793
Jharkhand,523,315,275,67,481,350,253,87,466,281,298,89,563,354,226,22,435,328,511,95
Karnataka,2830,533,1443,1616,1810,331,1038,1110,1873,299,990,989,943,207,375,547,1215,225,645,701
Kerala,887,86,937,136,649,70,591,126,918,62,691,130,354,23,234,113,271,35,264,51
Madhya_Pradesh,7687,1279,964,7114,4436,737,455,3998,4971,602,481,4265,1745,301,141,1574,2137,359,206,2087
Maharashtra,1708,508,753,759,1208,334,606,477,2197,556,1242,807,527,97,364,151,1127,219,788,326
Manipur,115,30,68,151,66,15,18,97,33,10,21,25,0,0,0,0,22,2,5,14
Meghalaya,95,25,35,10,125,33,48,22,186,56,60,35,166,23,71,18,103,45,39,16
Mizoram,12,10,2,4,9,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,10,3,11,11,18,2,9,18,29,11,6,19,3,1,0,0,48,2,1,17
Orissa,1508,748,862,760,1307,555,673,567,1176,554,687,561,1015,415,540,440,887,350,532,452
Punjab,776,496,339,145,385,264,181,86,481,311,247,96,286,197,157,51,492,277,262,72
Rajasthan,2042,777,633,1448,869,399,255,569,1082,429,338,695,1077,545,452,624,861,358,322,493
Sikkim,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Tamil_Nadu,15337,3822,1369,16008,5940,1506,549,6617,5870,1313,587,5812,5008,1270,594,5088,2792,807,477,2274
Telangana,5366,1627,477,5057,2636,774,260,2420,2332,717,186,2241,4483,1238,283,4845,4462,1288,427,4537
Tripura,20,6,27,0,1,0,1,0,1,1,0,0,0,0,0,0,5,0,11,0
Uttarakhand,74,30,47,15,91,34,64,10,148,55,99,18,54,29,21,10,70,51,35,4
Uttar_Pradesh,5034,2591,2378,1138,3977,2094,1968,818,3738,1781,1683,826,2818,1338,1515,683,3550,1765,1689,669
West_Bengal,1138,494,769,158,607,236,308,95,258,97,158,56,564,302,370,93,247,122,170,84
A_&_N_Islands,32,3,11,27,12,1,4,9,3,0,2,0,0,0,0,0,0,0,0,0
Chandigarh,27,8,2,23,0,0,0,0,71,19,1,77,29,8,1,26,41,14,1,33
D_&_N_Haveli,18,13,22,0,10,9,8,0,6,1,7,3,0,0,0,0,0,0,0,0
Daman_&_Diu,41,20,23,12,10,5,5,4,5,3,3,0,1,0,1,1,3,1,2,1
Delhi,1174,268,139,1058,621,130,76,482,1438,366,320,1011,368,77,53,279,545,104,70,483
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,410,55,130,275,327,37,121,211,283,46,114,183,116,14,50,64,146,22,53,83
Total,56363,16939,15167,41905,31249,9806,9619,21489,34630,9832,10443,21898,26695,8790,7868,18658,26916,8607,9371,17661
